Date Published,Status,Aircraft,Travel Type,Travel Class,Route,Date Flown,Seating Comfort,Staff Service,Food Quality,Entertainment,WiFi,Ground Service,Value for Money,Recommended,Country,New Overall Rating
12/18/18,Trip Verified,Boeing 777-300 / A380,Couple Leisure,Economy Class,Glasgow to Hong Kong via Dubai,18-Dec,3,3,3,3,4,3,3,no,United Kingdom,3
12/17/18,Trip Verified,Boeing 777,Business,Economy Class,Dubai to Istanbul,18-Dec,4,2,1,4,4,4,2,no,Turkey,3
12/14/18,Trip Verified,A 380,Couple Leisure,First Class,Colombo to Los Angeles via Dubai,18-Dec,5,5,4,5,5,5,5,yes,United Arab Emirates,5
12/14/18,Trip Verified,Boeing 777-300 ER,Couple Leisure,Economy Class,Dubai to Vienna,18-Dec,4,3,2,5,3,4,3,yes,Austria,3
12/11/18,Trip Verified,A380,Solo Leisure,Business Class,Dubai to Los Angeles,18-Dec,3,1,1,2,1,1,1,no,United Arab Emirates,1
12/11/18,Trip Verified,A380,Couple Leisure,Business Class,London to Brisbane via Dubai,18-Nov,4,4,3,3,3,1,3,no,United Kingdom,1
12/10/18,Trip Verified,Boeing 777,Business,Economy Class,Istanbul to Dubai,18-Dec,4,4,1,3,4,4,2,yes,Turkey,3
12/10/18,Trip Verified,A380,Couple Leisure,Economy Class,Manchester to Singapore via Dubai,18-Dec,3,2,3,3,2,4,4,no,United Kingdom,3
12/10/18,Trip Verified,A380,Couple Leisure,Business Class,Bangkok to Hong Kong,18-Dec,5,5,5,5,5,5,4,yes,Spain,4
12/7/18,Trip Verified,A380,Couple Leisure,Economy Class,Auckland to Manchester via Dubai,18-Nov,3,5,3,5,3,3,1,no,United Kingdom,3
12/4/18,Trip Verified,A380,Family Leisure,Economy Class,Kuala Lumpur to London via Dubai ,18-Dec,2,2,1,4,4,3,3,no,Malaysia,1
12/4/18,Trip Verified,A380,Business,Economy Class,Kuala Lumpur to London via Dubai,18-Dec,2,2,2,4,3,3,3,no,Singapore,1
11/29/18,Trip Verified,A380,Solo Leisure,Business Class,Dubai to Hamburg,18-Nov,5,5,5,5,4,5,5,yes,Switzerland,5
11/29/18,Trip Verified,Boeing 777 / A380,Solo Leisure,Business Class,Hamburg to Hong Kong via Dubai,18-Oct,5,5,5,5,4,5,5,yes,Switzerland,5
11/28/18,Trip Verified,A380,Solo Leisure,Business Class,Shanghai to Dubai,18-Nov,5,5,5,5,4,5,5,yes,Switzerland,5
11/6/18,Trip Verified,A380 / Boeing 777,Family Leisure,Economy Class,Madrid to Male via Dubai,18-Nov,2,1,2,2,1,1,1,no,Spain,1
10/18/18,Trip Verified,Boeing 777,Business,Economy Class,Johannesburg to Rome via Dubai,18-Jul,1,1,1,1,1,1,1,no,South Africa,1
10/17/18,Trip Verified,Boeing 777,Business,Economy Class,Dubai to Sao Paulo,18-Aug,2,3,2,3,3,1,1,no,Brazil,1
10/15/18,Not Verified,A380,Family Leisure,Business Class,Sydney to Paris via Dubai,18-Sep,3,2,3,3,3,1,1,no,Australia,1
10/7/18,Trip Verified,Boeing 777-300ER,Business,Economy Class,Dubai to Johannesburg,18-Sep,1,1,3,2,1,1,1,no,Hong Kong,1
9/28/18,Trip Verified,A388 / Boeing 777-300ER,Family Leisure,Economy Class,Frankfurt to Cebu via Dubai,18-Aug,3,2,5,4,2,1,3,no,Germany,3
9/27/18,Trip Verified,A380-800,Business,Business Class,Toronto to Beirut via Dubai,18-Sep,1,4,5,4,1,4,1,no,Canada,1
9/27/18,Trip Verified,A380-800,Business,Business Class,Dubai to Seoul Incheon,18-Sep,4,5,5,5,5,5,5,yes,Hungary,5
9/26/18,Not Verified,Boeing 777-300ER,Business,Business Class,Johannesburg to Kolkata via Dubai,18-Sep,4,2,3,5,4,3,2,no,South Africa,2
9/25/18,Trip Verified,A380,Solo Leisure,Economy Class,Bangkok to Sydney,18-Sep,3,2,3,4,4,4,2,no,Australia,1
9/18/18,Trip Verified,Boeing 777,Business,Economy Class,Dubai to Nairobi,18-Aug,2,1,5,5,3,1,3,no,Kenya,1
9/16/18,Trip Verified,A380,Couple Leisure,Economy Class,Sydney to Dubai,18-Aug,1,3,3,3,1,1,1,no,Australia,2
9/15/18,Trip Verified,Emirates,Couple Leisure,Economy Class,Gatwick to Dubai,18-Sep,1,1,1,1,1,1,1,no,United Kingdom,1
9/11/18,Trip Verified,A380,Solo Leisure,Economy Class,Dubai to Singapore,18-Sep,3,2,2,1,1,3,2,no,Singapore,2
9/8/18,Trip Verified,Boeing 777 / A380,Family Leisure,Economy Class,Cebu to Copenhagen via Dubai,18-Sep,3,1,1,1,1,1,1,no,Philippines,1
8/28/18,Trip Verified,B777-300 / A380,Solo Leisure,Business Class,Kuwait to Lyon via Dubai,18-Aug,2,1,2,3,1,5,2,no,Kuwait,1
8/24/18,Trip Verified,Boeing 777-300ER and A380,Family Leisure,Economy Class,Hamburg to Beijing via Dubai,18-Aug,4,5,5,5,5,4,5,yes,Germany,4
8/24/18,Trip Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Newark to Athens,18-Jul,5,5,4,5,5,5,5,yes,United States,5
8/20/18,Trip Verified,A380 and 777,Family Leisure,Economy Class,Amsterdam to Male via Dubai,18-Aug,4,2,1,5,4,2,3,no,Netherlands,2
8/17/18,Trip Verified,A380,Family Leisure,Business Class,Dubai to London,18-Aug,2,1,3,5,4,4,2,no,India,3
8/15/18,Trip Verified,A380,Solo Leisure,Business Class,Melbourne to London via Dubai,18-Aug,5,5,5,5,5,5,5,yes,Australia,5
8/12/18,Trip Verified,Boeing 777-300ER,Family Leisure,Economy Class,Colombo to Dubai,18-Jul,2,2,3,1,2,3,3,yes,United Arab Emirates,3
8/11/18,Not Verified,A380 / Boeing 777,Family Leisure,Economy Class,Manchester to Singapore via Dubai,18-Jul,3,2,2,2,1,4,2,no,United Kingdom,2
8/9/18,Trip Verified,A380,Family Leisure,Economy Class,London to Manila via Dubai,18-Jul,1,1,1,1,1,1,1,no,United Kingdom,1
7/26/18,Trip Verified,A380,Family Leisure,Economy Class,Dubai to Paris,18-Jul,3,1,2,2,5,5,4,yes,United Arab Emirates,3
7/24/18,Trip Verified,"A380, Boeing 777-200LR",Family Leisure,Economy Class,Johannesburg to Jakarta via Dubai,18-Jul,5,1,5,5,5,4,4,yes,South Africa,4
7/15/18,Trip Verified,A380,Couple Leisure,Economy Class,Rome to Dubai,18-Jul,2,2,2,3,3,1,2,no,Australia,1
7/12/18,Trip Verified,Boeing 777 / A380,Couple Leisure,Economy Class,Auckland to Birmingham via Brisbane / Dubai,18-Jun,2,1,1,2,2,4,3,no,New Zealand,1
7/10/18,Trip Verified,Boeing 777-300ER,Couple Leisure,Economy Class,Maldives to Boston via Dubai,18-Jul,1,1,3,4,4,3,1,no,United States,2
7/7/18,Trip Verified,A380,Couple Leisure,First Class,Perth to Athens,18-Jul,5,5,5,5,5,5,5,yes,Australia,5
7/7/18,Trip Verified,A380,Solo Leisure,Economy Class,Washington to Bangalore via Dubai,17-Sep,4,4,1,4,3,4,3,no,United States,1
6/28/18,Trip Verified,Boeing 777 / A380,Business,Economy Class,New York to Dubai,18-Jun,5,5,5,5,5,4,5,yes,United Arab Emirates,5
6/27/18,Trip Verified,A380 / Boeing 777,Business,Economy Class,London to Jakarta via Dubai,18-Jun,5,5,5,5,5,5,5,yes,United Kingdom,5
6/25/18,Trip Verified,Boeing 777 / A380,Family Leisure,Economy Class,Bahrain to London via Dubai,17-Jul,5,5,5,5,3,5,5,yes,Bahrain,5
6/24/18,Trip Verified,B777 / A380,Family Leisure,Business Class,Singapore to Dubai,18-Mar,5,5,5,5,5,5,5,yes,Germany,5
6/18/18,Trip Verified,A380,Business,First Class,Kuwait to Houston via Dubai,18-Jun,5,4,4,5,4,1,3,no,Kuwait,2
6/16/18,Not Verified,Boeing 777-300ER,Business,Business Class,Dubai to Boston,18-Jun,2,1,1,2,1,4,1,no,United States,1
6/15/18,Trip Verified,Boeing 777 / A380,Couple Leisure,Business Class,Cape Town to Melbourne via Dubai,18-Jun,5,5,5,4,3,4,4,yes,Australia,4
6/14/18,Not Verified,A380,Business,Business Class,Brussels to Tokyo via Dubai,18-Jun,5,5,1,5,5,5,4,yes,Belgium,4
6/14/18,Trip Verified,A380,Couple Leisure,Economy Class,San Francisco to Mumbai via Dubai,18-Jun,4,3,2,5,3,4,3,no,India,3
5/26/18,Trip Verified,A380,Solo Leisure,Economy Class,Amsterdam to Melbourne via Dubai,18-May,1,1,1,1,2,2,1,no,Australia,1
5/24/18,Trip Verified,A380,Solo Leisure,Economy Class,Milan to New York,18-May,3,1,2,1,2,4,3,yes,Italy,3
5/19/18,Trip Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Dallas to Dhaka via Dubai,18-May,2,4,1,3,1,1,1,no,United States,2
5/16/18,Trip Verified,A380 / Boeing 777,Family Leisure,Economy Class,Munich to Jakarta via Dubai,18-Jan,1,2,3,1,2,1,2,no,Indonesia,2
5/13/18,Trip Verified,A380-800,Solo Leisure,Economy Class,Birmingham to Bangkok via Dubai,18-May,5,5,3,5,4,3,5,yes,United Kingdom,5
5/8/18,Trip Verified,A340,Solo Leisure,Economy Class,Auckland to London via Dubai,18-Mar,2,1,4,5,4,4,4,no,United Kingdom,2
5/7/18,Trip Verified,A380,Couple Leisure,Economy Class,London to Manila via Dubai,18-Mar,4,5,5,5,4,5,5,yes,United Kingdom,5
5/5/18,Trip Verified,A380,Couple Leisure,Business Class,Amsterdam to Dubai,18-Apr,4,3,3,4,3,2,3,yes,Netherlands,4
4/29/18,Trip Verified,Boeing 777,Family Leisure,Economy Class,Bali to Newcastle via Dubai,18-Apr,1,4,4,5,1,3,1,no,United Kingdom,2
4/16/18,Trip Verified,A380 / Boeing 777,Solo Leisure,Business Class,Muscat to Zurich via Dubai,18-Apr,5,5,5,5,4,5,5,yes,Switzerland,5
4/16/18,Trip Verified,A380,Solo Leisure,Business Class,Zurich to Muscat via Dubai,18-Apr,5,5,5,5,4,5,5,yes,Switzerland,5
4/15/18,Trip Verified,A380,Family Leisure,Economy Class,Melbourne to Kuala Lumpur via Singapore,18-Apr,1,1,1,1,1,1,1,no,Australia,1
4/9/18,Trip Verified,A388,Solo Leisure,First Class,Dubai to Manchester,18-Apr,5,5,5,5,4,5,4,yes,United Kingdom,5
4/6/18,Trip Verified,A380,Business,Business Class,Christchurch to Sydney,18-Apr,3,1,1,5,5,5,1,no,Australia,1
3/30/18,Trip Verified,A380,Business,Economy Class,Amsterdam to Dubai,18-Mar,4,2,3,4,3,3,2,no,Netherlands,3
3/26/18,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Phnom Penh to Yangon,18-Mar,4,5,4,5,5,3,2,yes,Myanmar,4
3/16/18,Trip Verified,Boeing 777,Couple Leisure,Economy Class,Athens to Newark,18-Mar,5,2,2,4,3,5,4,yes,United States,3
3/15/18,Trip Verified,A380,Business,Business Class,Hyderabad to New York JFK via Dubai,18-Mar,4,1,1,2,1,4,1,no,United States,3
3/11/18,Trip Verified,A380,Family Leisure,Economy Class,London to Lahore via Dubai,18-Jan,5,5,5,5,4,5,5,yes,United Kingdom,5
3/6/18,Trip Verified,A380,Couple Leisure,Economy Class,Zurich to Kolkata via Dubai,18-Mar,3,1,2,1,1,1,1,no,Switzerland,1
3/5/18,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Phnom Penh to Yangon,18-Feb,4,5,3,5,4,4,4,yes,Cambodia,4
2/26/18,Trip Verified,"A380, Boeing 777",Business,Economy Class,Düsseldorf to Manila via Dubai,18-Feb,4,4,4,5,5,4,5,yes,Germany,5
2/19/18,Trip Verified,Boeing 777,Business,Economy Class,Oslo to Dubai,18-Feb,1,1,3,3,1,1,1,no,Norway,1
2/19/18,Trip Verified,A380,Couple Leisure,Business Class,Amsterdam to Mumbai via Dubai,18-Feb,4,4,4,5,3,4,4,yes,Switzerland,4
2/18/18,Trip Verified,Boeing 777-300ER,Family Leisure,Economy Class,Dublin to Dubai,17-Jul,5,5,5,5,5,5,5,yes,United Kingdom,5
2/9/18,Trip Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Manila to Dubai,18-Feb,4,4,4,4,2,4,5,yes,United Arab Emirates,4
2/6/18,Trip Verified,Boeing 777-300ER,Couple Leisure,Economy Class,Dubai to Manila,18-Feb,4,2,3,1,1,4,4,yes,United Arab Emirates,3
2/5/18,Trip Verified,Boeing 777,Business,Economy Class,Hyderabad to Zurich,18-Feb,1,1,1,1,1,1,1,no,Switzerland,1
2/4/18,Trip Verified,A380,Family Leisure,Economy Class,Birmingham to Sydney via Dubai,18-Feb,4,4,4,4,4,1,4,no,Australia,2
1/29/18,Trip Verified,A380,Solo Leisure,First Class,Zurich to Auckland via Dubai,18-Jan,4,1,3,5,4,3,3,no,Switzerland,3
1/29/18,Trip Verified,Boeing 777-300ER,Family Leisure,Economy Class,Bengaluru to Dammam via Dubai,17-Aug,5,5,3,5,5,4,4,yes,Saudi Arabia,5
1/27/18,Trip Verified,Boeing 777,Couple Leisure,Economy Class,Hamburg to Colombo via Dubai,17-Dec,5,3,4,5,1,4,1,no,Germany,1
1/5/18,Trip Verified,A380,Couple Leisure,Economy Class,Birmingham to Dubai,18-Jan,2,1,1,4,1,2,2,no,United Kingdom,2
1/4/18,Trip Verified,Boeing 777-300,Business,Economy Class,Kuwait to Dubai,17-Nov,1,4,1,3,5,5,3,no,Kuwait,3
12/30/17,Trip Verified,A380-800,Solo Leisure,Economy Class,Dubai to Hong Kong,17-Dec,3,1,1,3,1,1,2,no,Hong Kong,1
12/30/17,Trip Verified,A380,Solo Leisure,Economy Class,London to Kuala Lumpur via Dubai,17-Dec,4,5,5,5,4,4,5,yes,Malaysia,4
12/30/17,Trip Verified,A380,Couple Leisure,Economy Class,Paris to Dubai,17-Dec,2,1,1,3,3,1,1,no,Hong Kong,1
12/28/17,Trip Verified,A380,Business,Economy Class,Dusseldorf to Bangkok via Dubai,17-Dec,4,4,4,5,1,5,5,yes,United Kingdom,4
12/28/17,Trip Verified,Boeing 777,Solo Leisure,Economy Class,Lisbon to Dubai,17-Dec,3,2,1,3,1,3,1,no,United Arab Emirates,1
12/24/17,Trip Verified,A380,Business,Business Class,Dubai to Manchester,17-Dec,4,3,3,4,4,2,2,no,United Kingdom,2
12/19/17,Trip Verified,A380,Family Leisure,Economy Class,Singapore to Melbourne,17-Dec,4,1,3,5,4,2,4,no,Australia,2
12/14/17,Trip Verified,A380 / Boeing 777,Business,Economy Class,Frankfurt to Hyderabad via Duabi,17-Dec,4,4,4,3,2,1,4,no,Germany,1
12/13/17,Trip Verified,A380,Solo Leisure,Business Class,Hong Kong to Bangkok,17-Dec,4,5,4,4,4,4,4,yes,Hong Kong,5
12/10/17,Trip Verified,A380,Business,Business Class,London to Ahmedabad via Dubai,17-Dec,4,1,2,5,1,3,3,no,United Kingdom,2
12/10/17,Trip Verified,A380,Solo Leisure,Business Class,Bangkok to Sydney,17-Oct,5,5,5,5,5,5,5,yes,Australia,5
12/10/17,Trip Verified,A380-800,Business,Business Class,Colombo to Melbourne via Singapore,17-Nov,5,4,4,5,5,4,3,yes,United States,1
12/10/17,Trip Verified,A380,Solo Leisure,Economy Class,Dubai to Manchester,17-Dec,2,5,4,5,2,3,3,yes,United Kingdom,4
12/5/17,Trip Verified,A380 / Boeing 777-300ER,Solo Leisure,Economy Class,London to Durban via Dubai,17-Nov,4,4,2,5,1,4,2,no,United Kingdom,2
11/29/17,Trip Verified,"Boeing 777-300ER, A380-800",Family Leisure,Economy Class,Karachi to Jeddah via Dubai,17-Nov,5,5,4,5,4,4,5,yes,Pakistan,5
11/28/17,Trip Verified,A380-800,Solo Leisure,Business Class,Dubai to Zurich,17-Nov,5,5,5,5,4,4,5,yes,Switzerland,5
11/27/17,Trip Verified,A380-800,Solo Leisure,Business Class,Melbourne to Auckland / Dubai,17-Nov,5,5,5,5,4,4,5,yes,Switzerland,5
11/27/17,Trip Verified,A380-800,Solo Leisure,Business Class,Zurich to Melbourne via Dubai,17-Oct,5,5,5,5,4,5,5,yes,Switzerland,5
11/27/17,Trip Verified,Boeing 777-300,Couple Leisure,Economy Class,Male to Frankfurt via Dubai,17-Nov,3,2,2,4,2,3,3,no,Germany,2
11/27/17,Trip Verified,Boeing 777 /  A380,Couple Leisure,Economy Class,Lyon to Bangkok via Dubai,17-Nov,1,1,1,1,1,1,1,no,France,1
11/25/17,Trip Verified,A380,Business,Business Class,Frankfurt to Bangkok via Dubai,17-Nov,4,2,2,4,2,2,1,no,Germany,1
11/17/17,Verified Review,A380 / Boeing 777,Family Leisure,Economy Class,Sydney to Cairo via Dubai,17-Mar,4,4,4,5,4,4,4,yes,Australia,4
11/16/17,Verified Review,A380,Couple Leisure,Economy Class,Narita Tokyo to Dubai,17-Nov,1,1,2,3,3,1,1,no,Egypt,1
11/11/17,Verified Review,Boing 777,Business,Economy Class,Dubai to Cairo,17-Nov,1,2,3,5,3,2,3,yes,Egypt,3
11/8/17,Verified Review,A380-800,Family Leisure,Economy Class,Barcelona to Melbourne via Dubai,17-Sep,3,1,1,3,3,3,2,no,Australia,2
11/7/17,Verified Review,A380,Couple Leisure,Economy Class,Dubai to Mumbai,17-Nov,3,1,1,3,4,3,2,no,Mauritius,2
11/6/17,Verified Review,A380,Solo Leisure,Economy Class,Hong Kong to Geneva via Dubai,17-Nov,5,5,2,3,2,5,5,yes,Switzerland,5
11/4/17,Verified Review,Boeing 777-300ER,Couple Leisure,Economy Class,Newark to Athens,17-Oct,5,5,5,5,5,5,5,yes,United States,5
10/15/17,Verified Review,Boeing 777-300ER,Business,Economy Class,Delhi to Dubai,17-Oct,3,3,4,5,3,3,4,yes,India,4
10/13/17,Verified Review,A380,Business,Business Class,Dubai to Toronto,17-Oct,3,5,5,5,5,3,4,yes,Canada,4
10/10/17,Verified Review,A380,Couple Leisure,Economy Class,Melbourne to Cape Town via Dubai,17-Oct,4,4,4,4,2,2,3,no,Australia,1
10/8/17,Verified Review,Boeing 777 / A380,Couple Leisure,Business Class,Newcastle to Melbourne via Dubai,17-Oct,4,5,5,3,4,5,4,yes,United Kingdom,5
10/5/17,Verified Review,Boeing 777 300 ER,Business,Economy Class,Istanbul to Dubai,17-Oct,5,5,5,5,4,5,5,yes,United Arab Emirates,5
9/27/17,Verified Review,A380,Couple Leisure,Business Class,Dubai to Sydney via Bangkok,17-Sep,2,3,3,5,5,2,4,no,Australia,4
9/27/17,Verified Review,Boeing 777,Solo Leisure,Economy Class,Dubai to Amman,17-Aug,3,4,4,4,1,3,2,no,United Arab Emirates,1
9/25/17,Verified Review,A380,Solo Leisure,Business Class,Dubai to London Heathrow,17-Sep,3,4,4,4,4,3,4,yes,United Kingdom,5
9/25/17,Verified Review,Boeing 777-300er,Couple Leisure,Economy Class,Brisbane to Singapore,17-Sep,2,5,5,4,3,3,4,yes,Australia,3
9/18/17,Verified Review,A380,Couple Leisure,Economy Class,Manchester to Mauritius via Dubai,17-Jul,4,4,4,5,4,4,4,yes,United Kingdom,5
9/7/17,Verified Review,A380,Family Leisure,Economy Class,Perth to Rome via Dubai,17-Sep,5,5,5,5,2,4,4,yes,Australia,5
8/25/17,Verified Review,Boeing 777-300ER,Family Leisure,Economy Class,Mumbai to Dubai,17-May,5,5,4,5,3,5,4,yes,India,4
8/18/17,Verified Review,A380-800,Family Leisure,Economy Class,Bangkok to London via Dubai,17-Aug,3,2,2,5,1,1,4,no,Thailand,2
8/15/17,Verified Review,A380,Solo Leisure,Business Class,Perth to Manchester via Dubai,17-Aug,5,5,5,5,5,5,5,yes,Australia,5
8/14/17,Verified Review,A380,Couple Leisure,Economy Class,Birmingham to Sydney via Dubai / Bangkok,17-Aug,2,3,4,4,2,2,3,no,Australia,3
8/13/17,Verified Review,Boeing 777 /A380,Couple Leisure,Economy Class,Gatwick to Colombo via Dubai,17-Jul,5,5,5,5,5,5,4,yes,United Kingdom,5
8/7/17,Verified Review,Boeing 777-300,Solo Leisure,Economy Class,Newcastle to Trivandrum via Dubai,17-Aug,5,5,4,5,5,4,5,yes,Brazil,5
8/4/17,Verified Review,A380,Solo Leisure,Economy Class,Bangkok to Düsseldorf via Dubai,17-Aug,4,4,4,5,3,2,5,yes,Netherlands,4
8/4/17,Verified Review,A380,Family Leisure,Economy Class,Copenhagen to Mauritius via Dubai,17-Jul,5,5,4,5,3,4,4,yes,Sweden,5
8/4/17,Verified Review,A380-8,Family Leisure,Business Class,Tokyo Narita to Casablanca via Dubai,17-Jul,5,4,4,5,3,5,5,yes,Morocco,5
7/25/17,Verified Review,A380 / Boeing 777-300ER,Business,Economy Class,Mumbai to Vienna via Dubai,17-Jun,5,4,5,5,2,4,4,yes,India,5
7/24/17,Verified Review,A380,Business,Business Class,Dubai to Casablanca,17-Jul,4,5,4,5,4,4,4,yes,United Arab Emirates,5
7/18/17,Verified Review,Boeing 777-300ER / A380-800,Family Leisure,Economy Class,Budapest to Kuala Lumpur via Dubai,17-May,5,5,5,5,4,5,5,yes,Romania,5
7/17/17,Verified Review,A380-800,Solo Leisure,Business Class,Sydney to Christchurch,17-Jul,5,4,3,4,2,3,5,yes,Australia,4
7/16/17,Verified Review,A380 / Boeing 777,Solo Leisure,First Class,Johannesburg to Larnaca via Dubai,17-Jun,5,5,5,5,5,5,5,yes,Cyprus,5
7/16/17,Verified Review,A380,Couple Leisure,Economy Class,Dubai to Sydney,17-Jul,3,1,1,3,1,4,3,no,Australia,2
7/13/17,Verified Review,A380,Couple Leisure,Economy Class,Munich to Bangkok via Dubai,17-Jul,3,2,3,4,3,1,2,no,Thailand,1
7/6/17,Verified Review,A380,Family Leisure,Business Class,London to Melbourne via Dubai,17-May,2,2,3,5,2,2,2,no,United Kingdom,2
7/5/17,Verified Review,A380,Couple Leisure,Economy Class,Bangkok to Manchester via Dubai,17-May,4,4,5,3,3,3,3,no,United Kingdom,3
7/5/17,Verified Review,A380-800,Solo Leisure,Business Class,Brisbane to Dubai,17-Jun,3,3,3,4,2,4,3,no,Australia,3
7/4/17,Verified Review,A380,Business,Economy Class,Dubai to Taipei,17-Jun,1,3,1,4,2,3,2,yes,United Arab Emirates,3
6/25/17,Verified Review,A380-800,Couple Leisure,Economy Class,Bangalore to San Francisco via Dubai,17-Jan,1,1,1,1,1,1,1,no,United States,1
6/9/17,Verified Review,Boeing 777-300ER,Family Leisure,Economy Class,Dubai to Hamburg,17-Apr,5,5,5,5,5,5,5,yes,Germany,5
6/7/17,Verified Review,A380,Business,Business Class,Amsterdam to Tokyo Narita via Dubai,17-Jun,5,5,5,5,4,5,5,yes,Belgium,5
5/27/17,Verified Review,Boeing 777-300ER,Solo Leisure,Economy Class,Chennai to Adelaide via Dubai,16-Jul,1,1,5,3,5,4,3,no,Australia,3
5/24/17,Verified Review,Boeing 777-300 ER,Solo Leisure,Economy Class,Mumbai to Boston via Dubai,17-Jan,4,5,4,5,4,5,4,yes,United States,5
5/15/17,Verified Review,A380-800,Couple Leisure,Economy Class,Taipei to Budapest via Dubai,17-May,5,5,5,5,5,4,5,yes,Hungary,5
5/13/17,Verified Review,A380-800,Family Leisure,Economy Class,Manchester to Dubai,17-May,5,5,4,5,3,4,5,yes,United Kingdom,5
5/10/17,Verified Review,Boeing 777-300ER,Solo Leisure,Economy Class,Dubai to Warsaw,17-May,4,1,3,3,1,1,1,no,Poland,1
4/28/17,Verified Review,A380,Solo Leisure,Business Class,Bangkok to Paris CDG via Dubai,17-Apr,3,3,3,4,3,5,3,yes,Brazil,3
4/24/17,Verified Review,A380,Solo Leisure,Economy Class,Gatwick to Perth via Dubai,16-Nov,5,5,5,5,5,5,5,yes,Ukraine,5
4/20/17,Verified Review,A380,Solo Leisure,Business Class,Hong Kong to Newcastle via Dubai,17-Apr,5,5,5,5,4,5,4,yes,United Kingdom,5
4/19/17,Verified Review,Boeing 777-300 ER,Business,Economy Class,Bangalore to Budapest via Dubai,16-Nov,5,5,5,5,3,4,4,yes,India,4
4/16/17,Verified Review,Boeing 777-300ER / A380,Business,Economy Class,Delhi to Amsterdam via Dubai,17-Apr,4,4,5,5,4,4,5,yes,India,4
4/14/17,Verified Review,A380 / Boeing 777,Solo Leisure,First Class,Hong Kong to Cairo via Dubai,17-Apr,5,5,5,5,4,5,4,yes,Hong Kong,5
3/30/17,Verified Review,A380,Solo Leisure,Economy Class,Bangkok to Hong Kong,17-Mar,4,5,4,5,2,1,4,yes,Hong Kong,3
3/27/17,Verified Review,Boeing 777-300,Couple Leisure,First Class,Dublin to Tokyo via Dubai,17-Mar,5,5,5,5,4,5,5,yes,United Kingdom,5
3/25/17,Verified Review,A380 / Boeing 777-300,Family Leisure,Economy Class,LGW to ISB via DXB,17-Mar,5,3,3,5,3,4,4,yes,United Kingdom,3
3/20/17,Verified Review,Boeing 777-300ER / A380,Couple Leisure,Business Class,Warsaw to Bangkok via Dubai,17-Mar,3,2,2,4,3,1,2,no,Poland,2
3/16/17,Verified Review,A380,Solo Leisure,First Class,Paris to Bangkok via Dubai,17-Mar,4,5,5,5,3,4,5,yes,Brazil,5
3/15/17,❎ Unverified,Boeing 777 / A380,Family Leisure,Business Class,Karachi to London via Dubai,17-Mar,5,2,1,5,1,5,1,no,Pakistan,3
3/10/17,Verified Review,A380,Solo Leisure,Economy Class,Gatwick to Manila via Dubai,17-Mar,3,3,2,4,2,1,3,no,United Kingdom,2
3/10/17,Verified Review,A380,Family Leisure,Business Class,Dubai to Manchester,17-Mar,5,5,5,5,5,4,5,yes,United Kingdom,5
3/7/17,Verified Review,A380,Business,Business Class,Taipei to London via Dubai,17-Feb,4,5,5,5,3,4,5,yes,United Kingdom,5
2/26/17,Verified Review,Boeing 777-300,Couple Leisure,Economy Class,Dubai to Dublin,17-Feb,4,5,4,5,4,4,5,yes,Ireland,5
2/26/17,Verified Review,A380,Family Leisure,Economy Class,Dubai to Brisbane,17-Feb,4,5,4,3,3,4,4,yes,Australia,5
2/18/17,Verified Review,A380,Couple Leisure,Economy Class,Munich to Beijing via Dubai,17-Jan,5,4,5,5,5,4,5,yes,Germany,5
2/18/17,Verified Review,Boeing 777-300ER,Solo Leisure,Business Class,Larnaca to Malta,17-Feb,4,3,3,5,5,3,4,yes,United States,3
2/17/17,Verified Review,"Boeing 777-300, A380",Couple Leisure,Economy Class,Glasgow to Auckland via Dubai,17-Jan,4,5,5,5,5,4,5,yes,United Kingdom,5
2/13/17,Verified Review,A380-800,Solo Leisure,Economy Class,Dubai to Zurich,17-Feb,5,5,4,5,4,4,5,yes,Switzerland,5
2/9/17,Verified Review,A380,Couple Leisure,Business Class,Brisbane to London via Dubai,17-Feb,4,4,4,5,1,3,4,yes,United Kingdom,4
2/8/17,Verified Review,Boeing 777-300ER,Couple Leisure,Economy Class,Warsaw to Hanoi via Dubai,17-Jan,4,4,4,4,4,4,4,yes,Poland,4
2/6/17,Verified Review,A380,Family Leisure,Economy Class,Rome to Dubai,17-Jan,5,4,5,5,5,4,5,yes,Italy,5
1/30/17,Verified Review,A380,Solo Leisure,Business Class,Brisbane to Auckland,17-Jan,5,5,5,5,5,5,5,yes,Australia,5
1/16/17,Verified Review,A380,Couple Leisure,Business Class,LGW to BNE via DXB,17-Jan,4,3,3,5,1,1,4,yes,United Kingdom,3
1/15/17,Verified Review,A380,Family Leisure,Economy Class,SAV to COK via DXB / JFK,16-Jul,3,4,3,4,3,1,3,no,United States,1
1/13/17,Verified Review,A380,Family Leisure,Economy Class,BHX to DXB,17-Jan,1,1,1,2,1,1,1,no,United Kingdom,1
1/11/17,Verified Review,A380,Solo Leisure,Business Class,BKK to DXB,17-Jan,4,5,4,5,4,4,4,yes,Hong Kong,5
